NatDex;Pokemon;HP;Atk;Def;SpA;SpD;Spe;Total;Type I;Type II;Ability I;Ability II;Hidden Ability;EV Worth;Gender;Egg Group I;Egg Group II;Catch;Evolve;Unnamed: 20;Is_Mega;Has_Evolution;Is_Dual_Type;Type_I_encoded;Type_II_encoded;Type_Bug;Type_Dark;Type_Dragon;Type_Electric;Type_Fairy;Type_Fighting;Type_Fire;Type_Flying;Type_Ghost;Type_Grass;Type_Ground;Type_Ice;Type_Normal;Type_Poison;Type_Psychic;Type_Rock;Type_Steel;Type_Water;vs_Normal;vs_Fire;vs_Water;vs_Electric;vs_Grass;vs_Ice;vs_Fighting;vs_Poison;vs_Ground;vs_Flying;vs_Psychic;vs_Bug;vs_Rock;vs_Ghost;vs_Dragon;vs_Dark;vs_Steel;vs_Fairy;n_weaknesses;n_resistances;n_immunities;n_x4_weaknesses;defensive_score_type;Bulk;Offensive_Score;Defensive_Score;Physical_Bias;Speed_Class;Catch_numeric;Catch_Difficulty
1.0;Bulbasaur;45;49;49;65;65;45;318.0;Grass;Poison;Overgrow;;Chlorophyll;1 SpA;M (87.5%);Monster;Grass;45;;;False;0;1;9;14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.5;2.0;1.0;1.0;1.0;1.0;0.25;1.0;0.5;1.0;0.5;2.0;0.5;0.5;1.0;0.0;2.0;3;7;1;0;6;159;57.0;53.0;-16;Very Slow;45.0;210.0
2.0;Ivysaur;60;62;63;80;80;60;405.0;Grass;Poison;Overgrow;;Chlorophyll;1 SpA/1 SpD;M (87.5%);Monster;Grass;45;Lv. 16;;False;1;1;9;14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.5;2.0;1.0;1.0;1.0;1.0;0.25;1.0;0.5;1.0;0.5;2.0;0.5;0.5;1.0;0.0;2.0;3;7;1;0;6;203;71.0;6.766.666.666.666.660;-18;Slow;45.0;210.0
3.0;Mega Venusaur;80;100;123;122;120;80;625.0;Grass;Poison;Thick Fat;;;;;;;;;;True;0;1;9;14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.5;2.0;1.0;1.0;1.0;1.0;0.25;1.0;0.5;1.0;0.5;2.0;0.5;0.5;1.0;0.0;2.0;3;7;1;0;6;323;111.0;10.766.666.666.666.600;-22;Average;;128.0
3.0;Venusaur;80;82;83;100;100;80;525.0;Grass;Poison;Overgrow;;Chlorophyll;2 SpA/1 SpD;M (87.5%);Monster;Grass;45;Lv. 32;;False;1;1;9;14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.5;2.0;1.0;1.0;1.0;1.0;0.25;1.0;0.5;1.0;0.5;2.0;0.5;0.5;1.0;0.0;2.0;3;7;1;0;6;263;91.0;8.766.666.666.666.660;-18;Average;45.0;210.0
4.0;Charmander;39;52;43;60;50;65;309.0;Fire;;Blaze;;Solar Power;1 Spe;M (87.5%);Monster;Dragon;45;;;False;0;0;6;12;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.5;0.5;1.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;2.0;0.5;1.0;0.5;1.0;2.0;1.0;4;4;0;0;0;132;56.0;44.0;-8;Slow;45.0;210.0
5.0;Charmeleon;58;64;58;80;65;80;405.0;Fire;;Blaze;;Solar Power;1 SpA/1 Spe;M (87.5%);Monster;Dragon;45;Lv. 16;;False;1;0;6;12;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.5;0.5;1.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;2.0;0.5;1.0;0.5;1.0;2.0;1.0;4;4;0;0;0;181;72.0;60.333.333.333.333.300;-16;Average;45.0;210.0
6.0;Charizard;78;84;78;109;85;100;534.0;Fire;Flying;Blaze;;Solar Power;3 SpA;M (87.5%);Monster;Dragon;45;Lv. 36;;False;1;1;6;7;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.5;0.5;0.5;4.0;2.0;2.0;1.0;1.0;1.0;1.0;4.0;0.25;1.0;0.5;1.0;2.0;1.0;5;5;0;2;0;241;96.5;8.033.333.333.333.330;-25;Fast;45.0;210.0
6.0;Mega Charizard X;78;130;111;130;85;100;634.0;Fire;Dragon;Tough Claws;;;;;;;;;;True;0;1;6;2;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.5;0.5;1.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;2.0;0.5;1.0;1.0;1.0;1.0;0.0;3;4;1;0;3;274;130.0;9.133.333.333.333.330;0;Fast;;128.0
6.0;Mega Charizard Y;78;104;78;159;115;100;634.0;Fire;Flying;Drought;;;;;;;;;;True;0;1;6;7;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.5;0.5;0.5;4.0;2.0;2.0;1.0;1.0;1.0;1.0;4.0;0.25;1.0;0.5;1.0;2.0;1.0;5;5;0;2;0;271;131.5;9.033.333.333.333.330;-55;Fast;;128.0
7.0;Squirtle;44;48;65;50;64;43;314.0;Water;;Torrent;;Rain Dish;1 Def;M (87.5%);Monster;Water 1;45;;;False;0;0;17;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;0.5;1.0;0.5;1.0;1.0;1.0;2.0;1.0;1.0;1.0;2.0;1.0;0.5;1.0;1.0;1.0;3;3;0;0;0;173;49.0;57.666.666.666.666.600;-2;Very Slow;45.0;210.0
