NatDex;Pokemon;HP;Atk;Def;SpA;SpD;Spe;Total;Type I;Type II;Ability I;Ability II;Hidden Ability;EV Worth;Gender;Egg Group I;Egg Group II;Catch;Evolve;
1;Bulbasaur;45;49;49;65;65;45;318.0;Grass;Poison;Overgrow;N/A;Chlorophyll;1 SpA;M (87.5%);Monster;Grass;45;N/A;
2;Ivysaur;60;62;63;80;80;60;405.0;Grass;Poison;Overgrow;N/A;Chlorophyll;1 SpA/1 SpD;M (87.5%);Monster;Grass;45;Lv. 16;
3;Mega Venusaur;80;100;123;122;120;80;625.0;Grass;Poison;Thick Fat;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
3;Venusaur;80;82;83;100;100;80;525.0;Grass;Poison;Overgrow;N/A;Chlorophyll;2 SpA/1 SpD;M (87.5%);Monster;Grass;45;Lv. 32;
4;Charmander;39;52;43;60;50;65;309.0;Fire;N/A;Blaze;N/A;Solar Power;1 Spe;M (87.5%);Monster;Dragon;45;N/A;
5;Charmeleon;58;64;58;80;65;80;405.0;Fire;N/A;Blaze;N/A;Solar Power;1 SpA/1 Spe;M (87.5%);Monster;Dragon;45;Lv. 16;
6;Charizard;78;84;78;109;85;100;534.0;Fire;Flying;Blaze;N/A;Solar Power;3 SpA;M (87.5%);Monster;Dragon;45;Lv. 36;
6;Mega Charizard X;78;130;111;130;85;100;634.0;Fire;Dragon;Tough Claws;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
6;Mega Charizard Y;78;104;78;159;115;100;634.0;Fire;Flying;Drought;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
7;Squirtle;44;48;65;50;64;43;314.0;Water;N/A;Torrent;N/A;Rain Dish;1 Def;M (87.5%);Monster;Water 1;45;N/A;
8;Wartortle;59;63;80;65;80;58;405.0;Water;N/A;Torrent;N/A;Rain Dish;1 Def/1 SpD;M (87.5%);Monster;Water 1;45;Lv. 16;
9;Blastoise;79;83;100;85;105;78;530.0;Water;N/A;Torrent;N/A;Rain Dish;3 SpD;M (87.5%);Monster;Water 1;45;Lv. 36;
9;Mega Blastoise;79;103;120;135;115;78;630.0;Water;N/A;Mega Launcher;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
10;Caterpie;45;30;35;20;20;45;195.0;Bug;N/A;Shield Dust;N/A;Run Away;1 HP;Neutral;Bug;N/A;255;N/A;
11;Metapod;50;20;55;25;25;30;205.0;Bug;N/A;Shed Skin;N/A;N/A;1 Def;Neutral;Bug;N/A;120;Lv. 7;
12;Butterfree;60;45;50;90;80;70;395.0;Bug;Flying;Compoundeyes;N/A;Tinted Lens;2 SpA/1 SpD;Neutral;Bug;N/A;45;Lv. 10;
13;Weedle;40;35;30;20;20;50;195.0;Bug;Poison;Shield Dust;N/A;Run Away;1 Spe;Neutral;Bug;N/A;255;N/A;
14;Kakuna;45;25;50;25;25;35;205.0;Bug;Poison;Shed Skin;N/A;N/A;2 Def;Neutral;Bug;N/A;120;Lv. 7;
15;Beedrill;65;90;40;45;80;75;395.0;Bug;Poison;Swarm;N/A;Sniper;2 Atk/1 SpD;Neutral;Bug;N/A;45;Lv. 10;
15;Mega Beedrill;65;150;40;15;80;145;495.0;Bug;Poison;Adaptability;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
16;Pidgey;40;45;40;35;35;56;251.0;Normal;Flying;Keen Eye;Tangled Feet;Big Pecks;1 Spe;Neutral;Flying;N/A;255;N/A;
17;Pidgeotto;63;60;55;50;50;71;349.0;Normal;Flying;Keen Eye;Tangled Feet;Big Pecks;2 Spe;Neutral;Flying;N/A;120;Lv. 18;
18;Mega Pidgeot;83;80;80;135;80;121;579.0;Normal;Flying;No Guard;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
18;Pidgeot;83;80;75;70;70;101;479.0;Normal;Flying;Keen Eye;Tangled Feet;Big Pecks;3 Spe;Neutral;Flying;N/A;45;Lv. 36;
19;Rattata;30;56;35;25;35;72;253.0;Normal;N/A;Run Away;Guts;Hustle;1 Spe;Neutral;Field;N/A;255;N/A;
19;Rattata-Alolan;30;56;35;25;35;72;253.0;Dark;Normal;Gluttony;Hustle;Thick Fat;1 Spd;Neutral;N/A;N/A;N/A;N/A;
20;Raticate;55;81;60;50;70;97;413.0;Normal;N/A;Run Away;Guts;Hustle;2 Spe;Neutral;Field;N/A;127;Lv. 20;
20;Raticate-Alolan;75;71;70;40;80;77;413.0;Dark;Normal;Gluttony;Hustle;Thick Fat;2 Spd;Neutral;N/A;N/A;N/A;Level 20 (At night);
21;Spearow;40;60;30;31;31;70;262.0;Normal;Flying;Keen Eye;N/A;Sniper;1 Spe;Neutral;Flying;N/A;255;N/A;
22;Fearow;65;90;65;61;61;100;442.0;Normal;Flying;Keen Eye;N/A;Sniper;2 Spe;Neutral;Flying;N/A;90;Lv. 20;
23;Ekans;35;60;44;40;54;55;288.0;Poison;N/A;Intimidate;Shed Skin;Unnerve;1 Atk;Neutral;Field;Dragon;255;N/A;
24;Arbok;60;95;69;65;79;80;448.0;Poison;N/A;Intimidate;Shed Skin;Unnerve;2 Atk;Neutral;Field;Dragon;90;Lv. 22;
25;Partner Pikachu;45;80;50;75;60;120;430.0;Electric;N/A;N/A;N/A;N/A;2 Spd;Neutral;N/A;N/A;N/A;N;
25;Pikachu;35;55;40;50;50;90;320.0;Electric;N/A;Static;N/A;Lightningrod;2 Spe;Neutral;Field;Fairy;190;Friendship;
26;Mega Raichu X;60;135;95;90;95;110;585.0;Electric;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
26;Mega Raichu Y;60;100;55;160;80;130;585.0;Electric;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
26;Raichu;60;90;55;90;80;110;485.0;Electric;N/A;Static;N/A;Lightningrod;3 Spe;Neutral;Field;Fairy;75;Thunderstone;
26;Raichu-Alolan;60;85;50;95;85;110;485.0;Electric;Psychic;Surge Surfer;N/A;N/A;3 Spd;Neutral;N/A;N/A;N/A;Thunderstone (Alola Only);
27;Sandshrew;50;75;85;20;30;40;300.0;Ground;N/A;Sand Veil;N/A;Sand Rush;1 Def;Neutral;Field;N/A;255;N/A;
27;Sandshrew-Alolan;50;75;90;10;35;40;300.0;Ice;Steel;Snow Cloak;N/A;Slush Rush;1 Def;Neutral;N/A;N/A;N/A;N/A;
28;Sandslash;75;100;110;45;55;65;450.0;Ground;N/A;Sand Veil;N/A;Sand Rush;2 Def;Neutral;Field;N/A;90;Lv. 22;
28;Sandslash-Alolan;75;100;120;25;65;65;450.0;Ice;Steel;Snow Cloak;N/A;Slush Rush;2 Def;Neutral;N/A;N/A;N/A;Ice Stone;
29;Nidoran ♀;55;47;52;40;40;41;275.0;Poison;N/A;Poison Point;Rivalry;Hustle;1 HP;F (100%);Monster;Field;235;N/A;
30;Nidorina;70;62;67;55;55;56;365.0;Poison;N/A;Poison Point;Rivalry;Hustle;2 HP;F (100%);-;N/A;120;Lv. 16;
31;Nidoqueen;90;92;87;75;85;76;505.0;Poison;Ground;Poison Point;Rivalry;Sheer Force;3 HP;F (100%);-;N/A;45;Moon Stone;
32;Nidoran ♂;46;57;40;40;40;50;273.0;Poison;N/A;Poison Point;Rivalry;Hustle;1 Atk;M (100%);Monster;Field;235;N/A;
33;Nidorino;61;72;57;55;55;65;365.0;Poison;N/A;Poison Point;Rivalry;Hustle;2 Atk;M (100%);Monster;Field;120;Lv. 16;
34;Nidoking;81;102;77;85;75;85;505.0;Poison;Ground;Poison Point;Rivalry;Sheer Force;3 Atk;M (100%);Monster;Field;45;Moon Stone;
35;Clefairy;70;45;48;60;65;35;323.0;Fairy;N/A;Cute Charm;Magic Guard;Friend Guard;2 HP;F (75%);Fairy;N/A;150;Friendship;
